PM2.5, PM10, SO2, NO2, CO, O3, U(m/s), V(m/s), TEMP(K), RH(%), PSFC(Pa), lat, lon, 
5.25,9.27,1.37,4.32,0.35,73.86,8.51,-0.47,271.59,42.08,70550.7,35.68,102.74, 
12.07,24.41,3.74,10.27,0.7,68.15,5.84,-2.13,275.89,35.21,75812.94,35.68,102.91, 
48.16,105.27,17.4,38.98,2.28,48.04,0.61,0.13,277.51,38.56,80389.3,35.69,103.08, 
43.33,97.52,16.27,35.49,1.98,48.66,-1.17,2.11,276.92,42.28,79931.52,35.69,103.24, 
42.73,97.82,14.85,32.14,1.78,48.51,-0.53,2.61,275.65,46.94,78436.43,35.69,103.41, 
41.72,97.12,13.67,30.07,1.59,49.71,-1.3,3.16,275.57,50.32,79437.73,35.69,103.58, 
40.04,92.74,12.89,27.39,1.43,52.61,-1.68,2.32,275.53,46.71,78642.8,35.69,103.75, 
39.49,91.12,12.45,25.65,1.41,54.32,1.76,1.41,272.72,50.83,74419.45,35.7,103.91, 
35.22,80.4,10.47,22.6,1.22,56.12,5.65,2.31,273.18,47.9,74293.55,35.7,104.08, 
35.92,82.01,10.5,22.96,1.21,54.54,5.47,2.55,276.19,42.08,77872.89,35.7,104.25, 
40.8,93.63,12.48,26.18,1.23,50.47,2.8,2.8,276.81,44.31,79857.48,35.7,104.41, 
44.8,98.78,15.45,29.98,1.1,45.08,1.29,4.75,275.85,51.02,79969.88,35.7,104.58, 
39.48,84.73,14.25,25.96,0.86,44.27,1.64,6.58,275.41,55.91,80086.64,35.7,104.75, 
38.28,81.7,14.39,25.21,0.81,41.8,1.17,6.38,276.27,54.3,80956.72,35.7,104.92, 
41.82,89.9,15.6,29.03,0.9,38.6,-0.32,6.36,275.96,55.31,81168.34,35.7,105.08, 
41.33,88.75,14.6,26.5,0.91,38.44,-0.86,7.12,274.73,58.88,80435.4,35.7,105.25, 
41.43,89.77,14.39,25.53,0.94,37.76,-0.81,7,273.84,62.02,80375.75,35.7,105.42, 
43.68,99.35,15.59,28.19,1.04,36.98,-0.57,6.05,273.28,64.03,80975.67,35.7,105.59, 
38.08,87.84,14.51,25.16,0.93,39.57,-0.21,6.23,273.52,62.74,81353.19,35.7,105.75, 
33.22,75.83,12.52,22.35,0.8,42.24,0.35,7.53,273.53,61.08,80358.66,35.7,105.92, 
29.34,66.08,11.01,20.21,0.7,44.4,2.18,8.4,272.96,62.14,78619.28,35.7,106.09, 
27.31,59.62,9.97,19.39,0.63,44.97,3.77,7.91,273.86,57.27,78810.23,35.69,106.25, 
27.51,60.27,10.2,21.45,0.63,42.46,2.45,5.21,275.57,51.89,81285.7,35.69,106.42, 
34.09,77.1,13.42,37.14,0.75,34,0.17,4.16,276.1,51.85,83905.83,35.69,106.59, 
38.08,83.26,13.49,51.74,0.75,26.98,-0.42,4.49,275.8,56.29,85179.95,35.69,106.76, 
40.7,86.54,13.57,53.77,0.74,27.43,-0.14,4.34,275.71,60.07,85965.85,35.69,106.92, 
41.75,87.89,12.35,34.32,0.74,37.45,0.04,4.06,275.82,62.28,86642.21,35.68,107.09, 
43.09,91.65,11.3,24.14,0.77,41.39,-0.23,3.78,276.01,61.31,87036.59,35.68,107.26, 
47.25,99.64,12.18,25.86,0.83,39.48,-0.86,3.7,275.9,56.97,87253.28,35.68,107.43, 
52.97,111.98,14.77,34.31,0.95,35.26,-0.81,3.57,275.76,54.44,87144.39,35.67,107.59, 
51.1,102.79,14.11,30.47,0.88,37.8,-0.28,3.31,275.93,53.75,87951.1,35.67,107.76, 
48.93,93.31,14.54,28.39,0.83,39.13,-0.46,3.6,276.27,52.48,88980.57,35.67,107.93, 
44.68,78.57,14.18,25.13,0.73,41.8,-1.14,4.35,277,48.95,88381.88,35.66,108.09, 
41.24,68.16,13.84,23.09,0.66,43.84,-1.91,4.15,277.15,47.5,87107.88,35.66,108.26, 
41.11,66.59,14.3,24.59,0.68,42.86,-2.23,4.13,276.6,48.15,85997.6,35.65,108.43, 
40.85,64.08,15.69,27.27,0.69,42.38,-1.91,3.35,276.28,48.69,85671.27,35.65,108.6, 
45.77,72.65,18.09,33.97,0.82,39.28,-1.45,2.56,276.32,48.77,86639.48,35.65,108.76, 
51.4,83.4,21.8,40.87,0.98,35.68,-1.01,1.45,276.71,48.93,88108.83,35.64,108.93, 
57.02,96.55,26.24,50.76,1.2,30.32,-0.8,1.06,277.08,49.33,89637.3,35.64,109.1, 
60.88,104.6,26.6,54.23,1.3,29.11,-0.92,1.21,277.37,50.01,90694.68,35.63,109.26, 
62.86,108.68,24.75,50.96,1.28,32.09,-1.9,1.82,277.88,48.01,90786.67,35.62,109.43, 
62.43,106.54,23.96,45.5,1.19,34.96,-3.67,2.44,278.07,45.7,89557.71,35.62,109.6, 
61.55,102.29,24.89,42.96,1.11,36.21,-4.1,2.01,276.64,47.68,86859.72,35.61,109.77, 
62.73,100.42,27.05,42.22,1.06,38.16,-2.58,0.53,275.25,51.42,85206.68,35.61,109.93, 
70.47,112.89,31.08,43.89,1.14,37.13,-1.06,-0.32,275.38,53.58,86432.52,35.6,110.1, 
85.83,139.34,38.07,49.85,1.39,33.06,-0.33,-1.06,277.09,51.68,89560.3,35.59,110.27, 
115.75,189.06,47.45,57.49,1.9,26.33,0.1,-2.11,279.49,48.04,93659.45,35.59,110.43, 
172.67,283.3,66.47,68.14,2.8,18.55,-0.37,-2.28,281.29,44.58,96702.56,35.58,110.6, 
189.35,305.49,47.21,64.15,2.86,28.95,-1.85,0.06,281.55,44.83,96837.57,35.57,110.77, 
194.24,311.62,46.45,63.27,2.82,32.53,-2.19,0.91,280.92,47.21,96119.65,35.57,110.93, 
190.52,306.13,44.75,60.82,2.65,36.79,-1.68,1.07,280.84,49.16,96404.35,35.56,111.1, 
204.09,333.99,42.76,59.4,2.62,38.86,-2.19,2.87,280.59,51.76,95946.92,35.55,111.27, 
196.52,325.22,33.25,60.16,2.31,43.63,-2.87,4.33,280.26,52.35,94797.91,35.54,111.43, 
171.38,279.74,26.75,58.58,1.9,50.33,-3.04,4.35,280.03,50.16,92975.43,35.53,111.6, 
152.5,245.8,20.5,55.79,1.59,55.51,-2.64,3.52,277.6,53.47,87891.95,35.52,111.77, 
156.39,257.98,19.84,55.75,1.61,55.44,-1.04,3.38,275.55,59.08,84984.99,35.52,111.93, 
171.54,292.56,23.35,56.73,1.81,46.89,-0.34,2.8,276.72,60.23,88325.46,35.51,112.1, 
181.4,320.13,23.38,56.63,1.9,39.5,-1.01,2.43,278.03,62.19,92089.72,35.5,112.27, 
179.04,328.58,21.52,55.1,1.88,32.81,-1.16,2.12,278.23,64.76,93806.3,35.49,112.43, 
169.86,323.19,18.4,52.83,1.82,27.96,-1.46,1.64,277.98,66.34,93737.38,35.48,112.6, 
159.69,306.06,14.14,48.21,1.74,33.55,-2.16,1.98,277.68,66.88,92745.61,35.47,112.77, 
147.87,274.89,13.84,47.21,1.65,37.47,-3.69,2.62,277.95,64.68,92495.64,35.46,112.93, 
139.8,254.77,15.62,46.67,1.61,40.25,-4.82,1.61,277.45,65.05,91207.69,35.45,113.1, 
133.79,244.22,16.43,46.08,1.59,41.91,-3.62,-0.7,277.83,64.26,92007.06,35.44,113.27, 
141.26,263.85,16.74,49.19,1.79,31.68,-2.06,-1.59,280.79,56.77,97392.36,35.43,113.43, 
150.69,288.33,17.33,53.64,2.04,19.05,-2.49,-2.42,283.21,51.43,101568.45,35.42,113.6, 
157.8,304.97,17.23,57.71,2.23,12.67,-3.59,-3.47,283.09,54.56,101836.59,35.41,113.76, 
159.55,310.56,18.13,59.52,2.29,11.79,-3.48,-4.05,282.24,59.76,101404.2,35.39,113.93, 
160.22,310.92,19.68,59.56,2.29,13.26,-2.88,-4.32,281.63,63.2,101536.69,35.38,114.1, 
171.33,319.02,20.21,61.3,2.37,10.33,-2.31,-4.15,280.81,67.09,101651.91,35.37,114.26, 
185.07,319.36,19.5,61.72,2.32,7.91,-1.64,-3.79,280.22,71.01,101576.95,35.36,114.43, 
197.89,320.64,18.86,61.6,2.22,6.82,-1.15,-3.45,279.98,73.77,101513.87,35.35,114.6, 
209.31,329.57,18.96,61.65,2.16,6.42,-0.92,-3.06,279.97,75.54,101689.48,35.33,114.76, 
223.14,346.78,18.97,62.48,2.15,5.45,-0.88,-2.76,280.02,77.34,101799.55,35.32,114.93, 
231.57,362.12,18.53,63.25,2.11,4.72,-1.03,-2.63,280.25,79.57,101750.91,35.31,115.09, 
231.45,370.73,17.7,63.15,2.04,4.4,-1.25,-2.47,280.42,82.88,101795.34,35.3,115.26, 
219.44,364.29,16.78,62.25,1.91,4.17,-1.26,-2.35,280.43,86.21,101858.7,35.28,115.42, 
197.96,343.23,15.35,60.35,1.74,4.06,-1.12,-2.2,280.49,87.95,101901.01,35.27,115.59, 
174.18,316.71,13.94,57.68,1.58,4.49,-0.98,-2.02,280.74,87.99,101919.5,35.26,115.76, 
149.63,287.64,13.09,55.97,1.44,4.69,-0.97,-1.72,281.24,86.7,101923.08,35.24,115.92, 
128.69,262.56,12.84,55.38,1.33,5.03,-1.21,-1.4,281.6,86.62,101976.36,35.23,116.09, 
112.33,242.52,12.85,55.9,1.23,5.44,-1.57,-1.12,281.84,86.87,102052.12,35.21,116.25, 
100.23,227.8,12.38,56.03,1.14,6.57,-1.82,-0.89,281.96,87.56,102145.61,35.2,116.42, 
90.79,218.41,12.29,56.22,1.05,8.8,-1.83,-0.79,282.05,88.15,102010.91,35.18,116.58, 
84.5,214.14,11.72,55.75,0.97,11.27,-1.75,-0.68,282.16,88.56,101795.54,35.17,116.75, 
80.47,206.63,11.07,53.01,0.88,14.52,-1.91,-0.59,282.38,88.56,101863.2,35.15,116.91, 
77.21,203.32,10.72,51.09,0.84,16.85,-2.42,-0.47,282.61,87.61,101725.48,35.14,117.08, 
83.81,201.77,10.94,46.88,0.83,24.51,-3.14,-0.46,282.73,87,101288.25,35.12,117.24, 
86.37,202.12,11.06,45.52,0.84,27.64,-3.58,-0.58,282.48,88.28,100332.25,35.11,117.41, 
88.4,202.77,11.14,45.87,0.85,27.23,-3.23,-0.9,281.92,90.91,99405.3,35.09,117.57, 
87.88,202.94,11.04,46.18,0.86,27.02,-2.45,-1.69,281.87,91.98,99626.37,35.08,117.74, 
87.58,199.62,10.75,46.59,0.87,28.61,-1.81,-2.16,282.3,91.31,100428.37,35.06,117.9, 
86.01,197.66,9.86,48.38,0.87,28.23,-1.68,-2.06,282.92,90.69,101247.81,35.04,118.07, 
83.61,197.81,8.35,51.15,0.88,25.9,-2.04,-1.71,283.58,89.86,101644.77,35.03,118.23, 
78.93,180.4,8.79,48.17,0.85,32.51,-2.49,-1.13,284.06,89.44,101647.72,35.01,118.4, 
73.68,155.52,9.48,40.73,0.79,43.32,-2.93,-0.72,284.33,90.63,101470.01,34.99,118.56, 
68.29,139.65,9.13,36.37,0.74,49.21,-3.12,-0.55,284.5,92.04,101244.26,34.97,118.73, 
63.79,126.81,8.91,32.43,0.7,54.92,-2.96,-0.46,284.89,92.59,101548.44,34.96,118.89, 
59.21,117.38,11.6,29.02,0.66,58.69,-2.95,-0.23,285.4,92.68,102055.16,34.94,119.06, 
0.81,0.87,0.13,2.28,0.12,84.93,5.21,-1.27,258.41,35.18,52917.16,33.22,79.13, 
0.71,0.77,0.11,1.79,0.12,85.36,8.14,-0.62,257.13,36.35,51290.16,33.25,79.29, 
0.66,0.72,0.1,1.59,0.12,85.73,11,0.34,258.02,33.57,51580.41,33.28,79.44, 
0.63,0.7,0.09,1.5,0.12,85.99,12.21,-1.52,260.84,28.79,53548.06,33.31,79.6, 
0.61,0.68,0.09,1.5,0.12,85.23,9.94,-2.89,264.43,23.64,56890.04,33.35,79.76, 
0.56,0.64,0.08,1.33,0.13,86.83,8.08,-2.66,264.95,27.48,57843.18,33.38,79.92, 
0.53,0.6,0.08,1.21,0.13,86.3,7.97,-2.43,265.18,29.85,58443.78,33.41,80.08, 
0.51,0.57,0.07,1.11,0.13,85.45,7.01,-2.6,264.95,32.05,58949.68,33.44,80.24, 
0.49,0.55,0.07,1.01,0.13,85.32,5.65,-1.64,263.8,34.88,58468.65,33.47,80.39, 
0.47,0.52,0.07,0.86,0.13,86.62,4.91,-1.17,262.67,36.73,57567.5,33.5,80.55, 
0.45,0.5,0.07,0.75,0.13,87.62,5.51,-0.64,261.11,38.72,56013.82,33.53,80.71, 
0.44,0.48,0.07,0.68,0.13,87.7,7.16,-0.93,259.85,40.13,54812.16,33.57,80.87, 
0.42,0.46,0.07,0.62,0.13,84.96,8.94,-2.53,259.08,39.16,53967.01,33.6,81.03, 
0.41,0.45,0.07,0.59,0.13,84.13,9.77,-3.47,260.02,34.38,54337.16,33.63,81.19, 
0.4,0.44,0.07,0.55,0.13,82.65,8.57,-2.39,261.03,32.26,55113.43,33.66,81.35, 
0.39,0.43,0.07,0.51,0.13,81.61,7.64,-1.12,259.32,37.71,53892.77,33.69,81.51, 
0.38,0.41,0.07,0.46,0.13,80.87,9.06,-0.7,257.73,41.03,52478.77,33.72,81.67, 
0.36,0.4,0.06,0.44,0.13,81.34,10.72,-0.68,258.84,36.37,52932.67,33.75,81.83, 
0.35,0.4,0.06,0.43,0.13,80.83,9.77,-1.48,261.27,32.59,54781.52,33.77,81.99, 
0.34,0.39,0.06,0.39,0.13,80.89,8.54,-1.85,259.66,37.52,53809.54,33.8,82.15, 
0.33,0.38,0.06,0.37,0.13,82.57,10.4,-1.78,257.04,43.54,51703.79,33.83,82.31, 
0.31,0.36,0.06,0.35,0.13,83.08,11.83,-1.57,259,37.44,52917.02,33.86,82.47, 
0.3,0.35,0.06,0.34,0.13,83.96,11.21,-2.24,259.88,35.6,53512.46,33.89,82.63, 
0.3,0.35,0.06,0.33,0.13,83.87,10.67,-2.83,259.96,35.39,53527.16,33.92,82.79, 
0.29,0.34,0.06,0.31,0.13,81.83,9.77,-2.65,261.2,33.98,54633.25,33.95,82.95, 
0.29,0.34,0.06,0.3,0.13,80.9,9.03,-2.25,261.4,34.84,54995.07,33.97,83.11, 
0.28,0.34,0.06,0.29,0.13,80.28,9.03,-1.97,261.33,35.75,55045.11,34,83.27, 
0.28,0.33,0.05,0.28,0.13,80.5,9.29,-2,261.02,37.01,54886.11,34.03,83.43, 
0.27,0.32,0.05,0.27,0.13,80.91,9.54,-1.87,260.65,37.96,54586.09,34.06,83.59, 
0.27,0.32,0.05,0.26,0.13,81.84,9.45,-1.21,260.36,39.15,54372.77,34.08,83.75, 
0.27,0.32,0.05,0.25,0.13,82.17,9.34,-0.72,259.75,40.38,53943.39,34.11,83.91, 
0.27,0.31,0.05,0.24,0.13,82.64,9.49,-0.91,258.87,42.2,53226.96,34.14,84.07, 
0.26,0.3,0.05,0.23,0.13,83.73,9.84,-1.88,257.97,44.11,52424.08,34.16,84.24, 
0.25,0.29,0.05,0.23,0.13,84.89,10.32,-2.79,258.07,43.71,52432.96,34.19,84.4, 
0.25,0.29,0.05,0.22,0.13,85.39,10.3,-2.87,259.49,39.29,53465.59,34.22,84.56, 
0.25,0.28,0.05,0.22,0.13,84.69,9.78,-2.13,260.38,36.88,54263.55,34.24,84.72, 
0.25,0.28,0.05,0.22,0.13,83.81,8.59,-0.87,260.83,37.85,54813.08,34.27,84.88, 
0.25,0.28,0.05,0.21,0.13,83.38,8.58,0.06,260.61,37.12,55345.81,34.29,85.04, 
0.21,0.25,0.05,0.2,0.13,93.01,9.4,-1.17,262.53,46.44,55318.28,34.32,85.2, 
0.23,0.26,0.04,0.2,0.13,88.1,8.51,-1.51,260.25,46.85,54268.23,34.34,85.37, 
0.23,0.27,0.04,0.19,0.13,87.21,7.76,-1.23,257.62,48.5,52724.94,34.37,85.53, 
0.23,0.26,0.04,0.19,0.13,87.76,8.69,-1.54,255.53,50.93,51143.07,34.39,85.69, 
0.22,0.25,0.04,0.18,0.13,88.14,11.05,-1.39,254.1,50.63,49871.04,34.42,85.85, 
0.22,0.25,0.04,0.18,0.13,88.2,12.6,-1.76,255.66,43.41,50721.52,34.44,86.02, 
0.22,0.24,0.04,0.18,0.13,88.09,12.05,-1.92,257.95,37.6,52312.37,34.47,86.18, 
0.22,0.24,0.04,0.18,0.13,87.88,11.13,-1.39,258.96,36.39,53182.81,34.49,86.34, 
0.22,0.24,0.04,0.18,0.13,87.27,10.64,-0.96,259.7,35.7,53932.05,34.51,86.5, 
0.22,0.24,0.04,0.18,0.13,86.68,10.2,-0.75,260.15,35.5,54485.17,34.54,86.67, 
0.22,0.24,0.04,0.18,0.13,85.98,9.8,-0.5,260.27,35.64,54796.44,34.56,86.83, 
0.22,0.25,0.04,0.17,0.13,85.37,9.58,-0.27,260.15,36.35,54857.94,34.58,86.99, 
0.22,0.25,0.04,0.17,0.13,84.83,9.37,-0.02,260.26,36.72,55041.58,34.61,87.15, 
0.22,0.25,0.04,0.17,0.13,85.31,9.1,0.32,259.88,37.63,54898.09,34.63,87.32, 
0.22,0.24,0.04,0.16,0.13,85.87,9.37,0.61,258.9,40.98,54175.15,34.65,87.48, 
0.22,0.24,0.04,0.16,0.13,87.03,10.33,0.6,258.2,43.29,53594.6,34.67,87.64, 
0.22,0.24,0.04,0.16,0.13,88.34,11.06,0.1,258.58,42.54,53789.38,34.7,87.81, 
0.21,0.23,0.04,0.15,0.13,89.29,10.75,-0.32,259.42,42,54407.07,34.72,87.97, 
0.21,0.23,0.04,0.15,0.13,89.58,10.02,-0.23,259.9,43.3,54846.46,34.74,88.13, 
0.21,0.23,0.03,0.15,0.13,89.54,9.5,-0.09,260.11,45.12,55103.58,34.76,88.3, 
0.21,0.23,0.03,0.15,0.13,89.45,9.29,-0.15,260.05,46.37,55184.22,34.78,88.46, 
0.21,0.23,0.03,0.14,0.13,89.71,9.28,-0.29,259.96,47.29,55178.7,34.8,88.62, 
0.21,0.23,0.03,0.14,0.13,90.21,9.3,0.07,259.75,47.42,55106.57,34.82,88.79, 
0.21,0.22,0.03,0.14,0.13,90.88,9.3,-0.19,259.71,47.04,55081.12,34.84,88.95, 
0.21,0.23,0.03,0.14,0.13,91.2,8.89,0.4,260.23,46.32,55398.48,34.86,89.11, 
0.21,0.23,0.03,0.14,0.13,91.47,8.28,1.24,260.2,48.09,55419.37,34.88,89.28, 
0.22,0.24,0.03,0.13,0.13,91.14,8.96,1.35,258.14,54.68,53822.82,34.9,89.44, 
0.23,0.25,0.03,0.13,0.13,90.96,10.53,1.04,256.8,57.96,52713.49,34.92,89.61, 
0.24,0.26,0.03,0.13,0.13,91.43,10.52,0.72,258.37,53.07,53854.72,34.94,89.77, 
0.27,0.29,0.04,0.13,0.13,90.34,9.51,0.65,259.26,51.94,54865.96,34.96,89.93, 
0.29,0.31,0.04,0.13,0.13,89.91,9.01,0.71,259.3,52.53,55317.61,34.98,90.1, 
0.3,0.33,0.04,0.13,0.13,89.63,8.24,1.01,259.16,53.56,55790.11,35,90.26, 
0.32,0.34,0.05,0.13,0.13,89.17,7.03,1.65,258.12,56.82,55918.18,35.02,90.43, 
0.34,0.37,0.05,0.13,0.13,89.1,6.14,2.24,257.26,59.31,55958.19,35.04,90.59, 
0.35,0.38,0.05,0.13,0.13,89,5.62,2.97,256.69,61.83,55806.51,35.06,90.76, 
0.36,0.39,0.06,0.13,0.13,88.82,6.34,3.81,256.02,63.74,55082.35,35.07,90.92, 
0.36,0.39,0.06,0.12,0.13,88.7,8.42,4.16,255.78,62.73,54471.15,35.09,91.09, 
0.35,0.38,0.05,0.12,0.13,89.38,9.79,2.66,257.07,56.25,54962.89,35.11,91.25, 
0.35,0.38,0.05,0.12,0.13,89.16,9.52,0.75,257.59,54.37,55721.43,35.13,91.42, 
0.35,0.37,0.05,0.11,0.13,89.14,8.88,-1.31,257.01,56.99,55952.98,35.14,91.58, 
0.34,0.37,0.05,0.11,0.13,89.38,8.88,-1.15,257.24,57.09,56099.9,35.16,91.75, 
0.34,0.36,0.05,0.11,0.13,89.93,8.82,0.41,257.9,55.75,56374.59,35.18,91.91, 
0.34,0.36,0.04,0.11,0.13,88.6,8.25,1.03,257.58,58.77,56540.87,35.19,92.08, 
0.34,0.37,0.04,0.11,0.13,87.78,7.9,0.61,256.86,59.98,56646.2,35.21,92.24, 
0.34,0.36,0.04,0.1,0.13,89.57,8.08,0.87,257.36,58.85,56557.91,35.23,92.41, 
0.34,0.36,0.04,0.1,0.13,90.62,8.14,1.04,257.82,57.29,56448.04,35.24,92.57, 
0.33,0.35,0.04,0.1,0.13,91.24,8.01,0.52,258.19,56.02,56486.93,35.26,92.74, 
0.33,0.35,0.04,0.1,0.13,91.01,8.53,0.14,258.39,55.56,56535.07,35.27,92.9, 
0.33,0.36,0.04,0.13,0.13,90.93,9.09,0.39,259.29,52.59,57136.89,35.29,93.07, 
0.34,0.36,0.04,0.14,0.13,90.37,8.64,0.61,260.37,49.71,58012.04,35.3,93.23, 
0.34,0.36,0.04,0.16,0.13,89.41,7.46,0.34,260.78,49.22,58533.07,35.32,93.4, 
0.35,0.37,0.05,0.17,0.13,86.09,6.16,-0.19,260.49,50.78,58859.32,35.33,93.56, 
0.35,0.38,0.05,0.2,0.13,85.66,5.15,-0.78,260.08,52.14,59020.4,35.35,93.73, 
0.36,0.39,0.05,0.25,0.13,84.92,4.38,-1.27,259.41,54.05,58821.49,35.36,93.9, 
0.36,0.39,0.06,0.22,0.13,83.63,4.12,-1.68,258.5,56.29,58161.45,35.38,94.06, 
0.36,0.39,0.05,0.2,0.13,84.31,5.23,-1.75,257.31,58.92,56825.54,35.39,94.23, 
0.35,0.38,0.05,0.18,0.13,85.66,7.2,-0.79,257.24,56.95,56068.23,35.4,94.39, 
0.35,0.38,0.05,0.18,0.13,85.7,8.23,0.06,257.97,53.29,56355.05,35.42,94.56, 
0.35,0.38,0.05,0.17,0.13,86.13,8.57,0.24,257.91,53.14,56165.14,35.43,94.73, 
0.36,0.38,0.05,0.16,0.13,86.52,8.88,0.19,258.27,51.49,56281.47,35.44,94.89, 
0.36,0.39,0.05,0.16,0.13,86.68,8.59,0.65,258.71,50.14,56640.25,35.46,95.06, 
0.36,0.39,0.05,0.16,0.13,86.62,8.61,0.85,258.62,50.63,56610.43,35.47,95.22, 
0.37,0.4,0.05,0.15,0.13,86.56,8.65,1.23,259.22,49.14,57180.89,35.48,95.39, 
0.38,0.41,0.05,0.15,0.13,87.07,8.58,1.28,259.8,48.86,57733.71,35.49,95.56, 
0.39,0.42,0.05,0.15,0.13,86.16,8.58,1.28,260.57,46.6,58434.92,35.51,95.72, 
0.43,0.46,0.06,0.15,0.13,84.89,6.19,1.42,261.1,49.08,59758.77,35.52,95.89, 
0.48,0.52,0.07,0.15,0.13,86.08,3.66,1.33,259.88,58.62,59709.87,35.53,96.06, 
0.5,0.54,0.07,0.15,0.13,85.96,4.78,1.02,258.56,63.89,58592.04,35.54,96.22, 
0.52,0.56,0.07,0.15,0.13,84.91,6.34,2.31,258.21,64.97,58311.28,35.55,96.39, 
0.53,0.57,0.07,0.15,0.13,84.25,7.2,2.94,257.55,67.05,57620.19,35.56,96.55, 
0.54,0.58,0.07,0.15,0.13,84.04,9.21,2.51,257.68,64.55,57347.48,35.57,96.72, 
0.54,0.58,0.07,0.15,0.13,84.19,9.03,1.45,260.03,55.58,59010.12,35.58,96.89, 
0.55,0.59,0.07,0.15,0.13,82.68,5.53,-0.03,260.42,56.39,60039.22,35.59,97.05, 
0.57,0.61,0.08,0.15,0.13,82.93,3.64,-0.44,258.73,65.12,59147.26,35.6,97.22, 
0.58,0.63,0.08,0.15,0.13,82.76,5.23,0.48,257.3,71.06,57649.99,35.61,97.39, 
0.58,0.62,0.08,0.14,0.13,83.03,7.99,0.12,257.45,68.45,57168.85,35.62,97.55, 
0.57,0.62,0.08,0.14,0.13,82.84,9.91,-0.95,258.98,59.4,57853.86,35.63,97.72, 
0.58,0.63,0.07,0.15,0.13,81.7,8.97,-0.46,261.17,52.39,59652.52,35.64,97.89, 
0.61,0.65,0.08,0.19,0.13,80.8,6.67,2.28,262.23,53.85,61428.35,35.65,98.05, 
0.64,0.68,0.08,0.21,0.13,80.93,6.14,3.41,262.28,56.65,61876.16,35.66,98.22, 
0.65,0.7,0.08,0.23,0.13,80.84,6.09,2.8,262.23,58.06,61970.7,35.67,98.39, 
0.67,0.72,0.08,0.22,0.13,80.2,6,2.59,260.39,66.7,60664.7,35.68,98.56, 
0.68,0.73,0.08,0.22,0.13,79.7,6.96,1.85,259.3,71.47,59589.91,35.69,98.72, 
0.71,0.76,0.09,0.23,0.13,78.78,6.34,1.6,259.52,71.3,60367.09,35.69,98.89, 
0.74,0.8,0.09,0.25,0.13,78.45,4.2,2.86,258.46,76.35,60362.22,35.7,99.06, 
0.76,0.82,0.1,0.26,0.13,78.38,5.98,3,256.65,83.95,58136.8,35.71,99.22, 
0.71,0.77,0.1,0.22,0.13,80.02,11.8,0.7,257.75,72.24,57631.05,35.72,99.39, 
0.66,0.72,0.1,0.21,0.13,83.32,13.78,-0.51,263.23,49.12,61543.39,35.72,99.56, 
0.8,0.88,0.14,0.3,0.13,81.36,8.17,-0.59,266.79,42.14,65100,35.73,99.73, 
1.37,1.55,0.32,0.61,0.13,79.46,2.99,-1.06,266.96,45.07,65629.96,35.74,99.89, 
1.93,2.19,0.53,0.97,0.14,77.67,1.95,-0.04,267.48,50.01,66428.11,35.74,100.06, 
1.8,2.03,0.43,0.9,0.14,76.59,1.51,1.14,268.98,51.61,68531.79,35.75,100.23, 
1.7,1.9,0.36,0.82,0.14,77.24,1.24,1.01,270.12,49.8,70156.44,35.75,100.39, 
1.94,2.17,0.41,0.91,0.14,77,1.43,0.94,269.84,50.62,70272.44,35.76,100.56, 
1.99,2.23,0.43,0.92,0.14,77.64,1.55,1.99,268.56,54.87,69187.15,35.77,100.73, 
1.99,2.24,0.42,0.96,0.14,76.16,1.77,4.44,267.29,59.42,68245.88,35.77,100.9, 
1.85,2.07,0.36,0.95,0.14,75.4,3.55,5.33,266.42,61.53,67097.26,35.78,101.06, 
1.81,2.03,0.35,0.9,0.14,75.77,5.53,5.56,267.46,57.23,67661.02,35.78,101.23, 
1.8,2.03,0.35,0.85,0.14,76.27,5.59,5.44,270.1,49.06,70072.62,35.79,101.4, 
1.78,1.99,0.34,0.78,0.14,76.93,6.51,3.5,269.31,49.78,69061.88,35.79,101.57, 
1.69,1.86,0.31,0.69,0.14,78.1,10.26,0.22,267.38,53.84,66952.07,35.79,101.73, 
1.79,1.96,0.32,0.76,0.14,77.39,9.6,-0.46,270.7,43.16,69812.36,35.8,101.9, 
3.1,3.48,0.63,1.45,0.17,74.14,4.04,0.75,273.95,38.26,74167.38,35.8,102.07, 
4.6,5.29,1.01,1.97,0.19,74.3,3.17,1.3,273.5,40.17,74075.52,35.81,102.24, 
5.32,6.42,1.2,2.22,0.21,75.11,5.86,0.53,273.95,39.3,74554.86,35.81,102.4, 
6.08,8.66,1.35,3.51,0.29,74.62,7.02,-0.18,275.71,36.01,76601.99,35.81,102.57, 
8.24,13.42,1.94,5.57,0.42,73.04,7.97,-0.49,276.14,35.72,77290.95,35.82,102.74, 
12.71,23.21,3.19,9.54,0.67,69.61,7.86,-1.43,277.2,34.79,78670.38,35.82,102.91, 
25.66,52.39,7.19,19.15,1.21,61.43,4.64,0.29,277.6,38,80305.4,35.82,103.07, 
35.55,78.38,11.31,27.84,1.63,54.35,1.42,2.96,277.02,41.85,80162.86,35.82,103.24, 
39.6,88.79,12.4,29.54,1.67,50.81,0.54,3.66,275.8,46.4,78839.91,35.83,103.41, 
39.97,91.07,11.96,28.53,1.54,50.76,-0.09,4.34,275.33,49.75,79074.18,35.83,103.58, 
38.47,88.19,11.55,27.14,1.44,52.02,0.73,4.85,274.97,46.66,77632.75,35.83,103.74, 
